Q31: Le TC dense régulier unitendu est typiquement retrouvé dans :	Réponse: A — Tendons et ligaments
Q53: L’irrigation du membre supérieur débute à partir de :	Réponse: A — L’artère sous-clavière
Q59: L’artère brachiale se termine au pli du coude en donnant :	Réponse: C — L’artère radiale et l’artère ulnaire
Q110: [V16] Lequel des énoncés décrit correctement : Espace huméro-tricipital ?	Réponse: A — où le nerf radial accompagne l’a. brachiale profonde
Q123: [V29] Quel élément correspond le mieux à : l’artère à partir de laquelle commence l’irrigation du membre supérieur ?	Réponse: D — Sous-clavière
Q151: [V57] Parmi les propositions suivantes, laquelle correspond le mieux à : les deux terminales de l’artère brachiale au pli du coude ?	Réponse: D — Radiale + ulnaire
Q158: [V64] Quel élément correspond le mieux à : les deux terminales de l’artère brachiale au pli du coude ?	Réponse: C — Radiale + ulnaire
Q176: [V82] Quel élément correspond le mieux à : l’artère issue de l’axillaire au bord inférieur du grand rond ?	Réponse: C — Brachiale
Q188: [V94] Quel élément correspond le mieux à : l’artère faisant suite à la sous-clavière au défilé costo-claviculaire ?	Réponse: D — Axillaire
Q194: [V100] Lequel des énoncés décrit correctement : Dure-mère ?	Réponse: C — exemple de localisation de TC dense irrégulier
Q211: [V117] Parmi les propositions suivantes, laquelle correspond le mieux à : site de palpation du pouls radial cité ?	Réponse: C — Tabatière anatomique
Q221: [V127] Lequel des énoncés décrit correctement : Endomysium ?	Réponse: B — localisation citée du TC lâche entre fibres musculaires striées
Q227: [V133] Parmi les propositions suivantes, laquelle correspond le mieux à : site de palpation du pouls radial cité ?	Réponse: D — Tabatière anatomique
Q242: [V148] Parmi les propositions suivantes, laquelle correspond le mieux à : les deux terminales de l’artère brachiale au pli du coude ?	Réponse: C — Radiale + ulnaire
Q244: [V150] Parmi les propositions suivantes, laquelle correspond le mieux à : les deux terminales de l’artère brachiale au pli du coude ?	Réponse: D — Radiale + ulnaire
Q262: [V168] Parmi les propositions suivantes, laquelle correspond le mieux à : site de palpation du pouls radial cité ?	Réponse: C — Tabatière anatomique
Q301: [V207] Parmi les propositions suivantes, laquelle correspond le mieux à : où le nerf radial accompagne l’a. brachiale profonde ?	Réponse: C — Espace huméro-tricipital
Q305: [V211] Quel élément correspond le mieux à : les deux terminales de l’artère brachiale au pli du coude ?	Réponse: C — Radiale + ulnaire
Q340: [V246] Lequel des énoncés décrit correctement : Sous-clavière ?	Réponse: B — l’artère à partir de laquelle commence l’irrigation du membre supérieur
Q346: [V252] Quel élément correspond le mieux à : l’artère à partir de laquelle commence l’irrigation du membre supérieur ?	Réponse: A — Sous-clavière
Q358: [V264] Lequel des énoncés décrit correctement : TC dense irrégulier ?	Réponse: B — collagène en faisceaux orientés dans toutes les directions
Q18: De manière générale, de la moelle émergent :	Réponse: D — Une racine antérieure motrice et une racine postérieure sensitive
Q19: Le TC dense régulier bitendu est cité dans le cours comme :	Réponse: B — Stroma cornéen / aponévroses
Q94: Une mucopolysaccharidose est décrite comme :	Réponse: D — Une maladie de surcharge lysosomiale par déficit enzymatique
Q154: [V60] Quel élément correspond le mieux à : la cause de l’hydrophilie des protéoglycanes ?	Réponse: A — Charges négatives
Q181: [V87] Quel élément correspond le mieux à : la cause de l’hydrophilie des protéoglycanes ?	Réponse: C — Charges négatives
Q252: [V158] Lequel des énoncés décrit correctement : Nerf ulnaire ?	Réponse: D — branche terminale issue de la corde médiale
Q253: [V159] Lequel des énoncés décrit correctement : Espace quadrangulaire ?	Réponse: A — où passe le nerf axillaire avec l’a. circonflexe humérale postérieure
Q254: [V160] Parmi les propositions suivantes, laquelle correspond le mieux à : des récepteurs membranaires dimériques impliqués dans l’ancrage à la MEC ?	Réponse: D — Intégrines (α/β)
Q255: [V161] Lequel des énoncés décrit correctement : PICO ?	Réponse: A — Patient/Problème – Intervention – Comparateur – Outcome
Q259: [V165] Quel élément correspond le mieux à : site de palpation du pouls radial cité ?	Réponse: D — Tabatière anatomique
Q261: [V167] Parmi les propositions suivantes, laquelle correspond le mieux à : formée des 3 divisions postérieures ?	Réponse: D — Corde postérieure
Q263: [V169] Parmi les propositions suivantes, laquelle correspond le mieux à : l’artère à partir de laquelle commence l’irrigation du membre supérieur ?	Réponse: A — Sous-clavière
Q264: [V170] Parmi les propositions suivantes, laquelle correspond le mieux à : l’artère issue de l’axillaire au bord inférieur du grand rond ?	Réponse: C — Brachiale
Q266: [V172] Lequel des énoncés décrit correctement : Espace huméro-tricipital ?	Réponse: B — où le nerf radial accompagne l’a. brachiale profonde
Q273: [V179] Parmi les propositions suivantes, laquelle correspond le mieux à : où le nerf radial accompagne l’a. brachiale profonde ?	Réponse: D — Espace huméro-tricipital
Q275: [V181] Lequel des énoncés décrit correctement : Espace quadrangulaire ?	Réponse: D — où passe le nerf axillaire avec l’a. circonflexe humérale postérieure
Q276: [V182] Lequel des énoncés décrit correctement : Laminine ?	Réponse: A — une glycoprotéine spécifique de la lame basale
Q278: [V184] Parmi les propositions suivantes, laquelle correspond le mieux à : l’artère faisant suite à la sous-clavière au défilé costo-claviculaire ?	Réponse: C — Axillaire
Q279: [V185] Quel élément correspond le mieux à : où passent le nerf ulnaire et l’artère ulnaire ?	Réponse: C — Canal de Guyon
Q281: [V187] Quel élément correspond le mieux à : où l’ordre antéro-postérieur est veine sous-clavière → artère → divisions ?	Réponse: D — Défilé costo-claviculaire
Q287: [V193] Lequel des énoncés décrit correctement : Canal carpien ?	Réponse: C — zone classique de compression du nerf médian
Q291: [V197] Parmi les propositions suivantes, laquelle correspond le mieux à : la racine motrice du nerf spinal ?	Réponse: C — Racine antérieure
Q295: [V201] Lequel des énoncés décrit correctement : Axillaire ?	Réponse: C — l’artère faisant suite à la sous-clavière au défilé costo-claviculaire
Q303: [V209] Parmi les propositions suivantes, laquelle correspond le mieux à : la cause de l’hydrophilie des protéoglycanes ?	Réponse: A — Charges négatives
Q306: [V212] Quel élément correspond le mieux à : où l’ordre antéro-postérieur est veine sous-clavière → artère → divisions ?	Réponse: A — Défilé costo-claviculaire
Q311: [V217] Parmi les propositions suivantes, laquelle correspond le mieux à : l’élément de la MEC localisé entre cellules et fibres, de consistance semi-fluide ?	Réponse: C — Substance fondamentale
Q312: [V218] Parmi les propositions suivantes, laquelle correspond le mieux à : exemples de TC dense régulier bitendu ?	Réponse: D — Stroma cornéen / aponévrose
Q313: [V219] Quel élément correspond le mieux à : la racine motrice du nerf spinal ?	Réponse: B — Racine antérieure
Q314: [V220] Parmi les propositions suivantes, laquelle correspond le mieux à : le plexus innervant ceinture scapulaire + membre supérieur ?	Réponse: C — Plexus brachial (C5–T1)
Q315: [V221] Lequel des énoncés décrit correctement : Dure-mère ?	Réponse: C — exemple de localisation de TC dense irrégulier
Q316: [V222] Parmi les propositions suivantes, laquelle correspond le mieux à : branche terminale issue de la corde médiale ?	Réponse: C — Nerf ulnaire
Q318: [V224] Lequel des énoncés décrit correctement : Brachiale ?	Réponse: B — l’artère issue de l’axillaire au bord inférieur du grand rond
Q320: [V226] Parmi les propositions suivantes, laquelle correspond le mieux à : espace entre scalène antérieur (avant) et moyen (arrière) ?	Réponse: D — Défilé des scalènes
Q328: [V234] Quel élément correspond le mieux à : où le nerf radial accompagne l’a. brachiale profonde ?	Réponse: C — Espace huméro-tricipital
Q333: [V239] Lequel des énoncés décrit correctement : TC dense irrégulier ?	Réponse: B — collagène en faisceaux orientés dans toutes les directions
Q335: [V241] Lequel des énoncés décrit correctement : Nerf ulnaire ?	Réponse: D — branche terminale issue de la corde médiale
Q338: [V244] Lequel des énoncés décrit correctement : Plexus brachial (C5–T1) ?	Réponse: B — le plexus innervant ceinture scapulaire + membre supérieur
Q350: [V256] Lequel des énoncés décrit correctement : Brachiale ?	Réponse: A — l’artère issue de l’axillaire au bord inférieur du grand rond
Q351: [V257] Lequel des énoncés décrit correctement : Intégrines (α/β) ?	Réponse: C — des récepteurs membranaires dimériques impliqués dans l’ancrage à la MEC
Q352: [V258] Lequel des énoncés décrit correctement : Radiale + ulnaire ?	Réponse: B — les deux terminales de l’artère brachiale au pli du coude
Q353: [V259] Quel élément correspond le mieux à : où passe le nerf axillaire avec l’a. circonflexe humérale postérieure ?	Réponse: B — Espace quadrangulaire
Q355: [V261] Lequel des énoncés décrit correctement : Divisions postérieures ?	Réponse: A — innervent préférentiellement les loges postérieures (extenseurs)
Q362: [V268] Quel élément correspond le mieux à : espace entre scalène antérieur (avant) et moyen (arrière) ?	Réponse: D — Défilé des scalènes
Q365: [V271] Lequel des énoncés décrit correctement : Collagène type II ?	Réponse: C — le collagène du cartilage
Q367: [V273] Quel élément correspond le mieux à : formé par C5 et C6 ?	Réponse: A — Tronc supérieur
Q368: [V274] Parmi les propositions suivantes, laquelle correspond le mieux à : information sur bénéfices/risques/alternatives avant un soin ?	Réponse: D — Consentement éclairé
Q369: [V275] Lequel des énoncés décrit correctement : Intégrines (α/β) ?	Réponse: C — des récepteurs membranaires dimériques impliqués dans l’ancrage à la MEC
Q372: [V278] Lequel des énoncés décrit correctement : Radiale + ulnaire ?	Réponse: A — les deux terminales de l’artère brachiale au pli du coude
Q375: [V281] Quel élément correspond le mieux à : le plexus innervant ceinture scapulaire + membre supérieur ?	Réponse: D — Plexus brachial (C5–T1)
Q376: [V282] Quel élément correspond le mieux à : la racine motrice du nerf spinal ?	Réponse: D — Racine antérieure
Q378: [V284] Parmi les propositions suivantes, laquelle correspond le mieux à : la capacité à identifier ce qui nécessite une intervention médicale ?	Réponse: D — Reconnaître ses limites
Q379: [V285] Lequel des énoncés décrit correctement : Plexus brachial (C5–T1) ?	Réponse: A — le plexus innervant ceinture scapulaire + membre supérieur
Q380: [V286] Parmi les propositions suivantes, laquelle correspond le mieux à : un objectif central mis en avant par l’IFEC ?	Réponse: B — Qualité et sécurité des soins
Q381: [V287] Quel élément correspond le mieux à : où l’ordre antéro-postérieur est veine sous-clavière → artère → divisions ?	Réponse: C — Défilé costo-claviculaire
Q383: [V289] Quel élément correspond le mieux à : branche terminale issue de la corde latérale ?	Réponse: A — Nerf musculo-cutané
Q384: [V290] Parmi les propositions suivantes, laquelle correspond le mieux à : cellule proche des capillaires riche en histamine (allergie) ?	Réponse: A — Mastocyte
Q386: [V292] Lequel des énoncés décrit correctement : Plexus brachial (C5–T1) ?	Réponse: D — le plexus innervant ceinture scapulaire + membre supérieur
Q389: [V295] Parmi les propositions suivantes, laquelle correspond le mieux à : branche terminale issue de la corde postérieure ?	Réponse: A — Nerf radial
Q390: [V296] Quel élément correspond le mieux à : où passe le nerf axillaire avec l’a. circonflexe humérale postérieure ?	Réponse: C — Espace quadrangulaire
