Q1: Le nerf axillaire chemine avec l’artère circonflexe humérale postérieure dans :	Réponse: D — L’espace quadrangulaire
Q2: Le plexus brachial est formé des APD de :	Réponse: B — C5 à T1
Q4: Les divisions postérieures innervent préférentiellement :	Réponse: C — Les loges postérieures (extenseurs)
Q7: Le tronc supérieur du plexus brachial est formé par :	Réponse: D — C5 et C6
Q13: La branche profonde du nerf radial :	Réponse: D — Plonge dans le supinateur et innerve la loge postérieure
Q16: Dans le cours, une atteinte du médian au canal carpien peut donner :	Réponse: D — Fonte du thénar avec “main de singe”
Q21: Au niveau des racines, le plexus brachial passe entre :	Réponse: C — Scalène antérieur (avant) et scalène moyen (arrière)
Q27: Au coude, le nerf ulnaire passe :	Réponse: C — En arrière de l’épicondyle médial (gouttière rétro-épitrochléo-olécranienne)
Q35: Le nerf interosseux antérieur (branche du médian) innerve notamment :	Réponse: B — Flexor pollicis longus, 1/2 latérale du flexor digitorum profundus, carré pronateur
Q40: Dans le cours, le pouls radial peut être palpé :	Réponse: C — Dans la tabatière anatomique
Q45: Le nerf médian passe entre :	Réponse: B — Les deux chefs du pronator teres
Q47: La corde postérieure est formée :	Réponse: C — Des 3 divisions postérieures
Q54: Le nerf radial provient :	Réponse: C — De la corde postérieure
Q56: Le nerf musculo-cutané provient :	Réponse: A — De la corde latérale
Q57: L’artère axillaire se termine en donnant l’artère brachiale :	Réponse: A — Au bord inférieur du muscle grand rond
Q61: Le nerf musculo-cutané se termine en donnant :	Réponse: B — Le nerf cutané antébrachial latéral
Q63: Le nerf radial plonge avec l’artère brachiale profonde dans :	Réponse: D — L’espace huméro-tricipital
Q66: L’artère sous-clavière devient l’artère axillaire :	Réponse: B — Au niveau du défilé costo-claviculaire
Q68: Dans le défilé costo-claviculaire, d’avant en arrière on retrouve :	Réponse: D — Veine sous-clavière, artère sous-clavière, divisions du plexus
Q79: Le nerf ulnaire provient :	Réponse: B — De la corde médiale
Q81: Le nerf supra-scapulaire (cours) passe dans l’incisure scapulaire :	Réponse: A — Sous le ligament transverse de la scapula
Q84: Le canal de Guyon contient :	Réponse: C — Le nerf ulnaire et l’artère ulnaire
Q85: Dans le cours, l’artère sous-clavière passe :	Réponse: B — Entre les scalènes antérieur et moyen
Q90: La branche postérieure du nerf spinal (dans le cours) est aussi appelée :	Réponse: D — PPD (posterior primary division)
Q92: Après le petit pectoral, un rapport antérieur de l’artère axillaire (cours) est :	Réponse: A — Le nerf médian
Q96: [V2] Lequel des énoncés décrit correctement : Axillaire ?	Réponse: C — l’artère faisant suite à la sous-clavière au défilé costo-claviculaire
Q98: [V4] Quel élément correspond le mieux à : branche terminale issue de la corde postérieure ?	Réponse: D — Nerf radial
Q99: [V5] Parmi les propositions suivantes, laquelle correspond le mieux à : branche terminale issue de la corde médiale ?	Réponse: D — Nerf ulnaire
Q102: [V8] Lequel des énoncés décrit correctement : Nerf radial ?	Réponse: C — branche terminale issue de la corde postérieure
Q103: [V9] Lequel des énoncés décrit correctement : Mastocyte ?	Réponse: C — cellule proche des capillaires riche en histamine (allergie)
Q117: [V23] Parmi les propositions suivantes, laquelle correspond le mieux à : branche terminale issue de la corde postérieure ?	Réponse: C — Nerf radial
Q122: [V28] Quel élément correspond le mieux à : le plexus innervant ceinture scapulaire + membre supérieur ?	Réponse: C — Plexus brachial (C5–T1)
Q127: [V33] Parmi les propositions suivantes, laquelle correspond le mieux à : formée des 3 divisions postérieures ?	Réponse: C — Corde postérieure
Q130: [V36] Quel élément correspond le mieux à : la racine sensitive (avec ganglion spinal) ?	Réponse: A — Racine postérieure
Q131: [V37] Lequel des énoncés décrit correctement : Défilé costo-claviculaire ?	Réponse: D — où l’ordre antéro-postérieur est veine sous-clavière → artère → divisions
Q132: [V38] Quel élément correspond le mieux à : où l’ordre antéro-postérieur est veine sous-clavière → artère → divisions ?	Réponse: A — Défilé costo-claviculaire
Q133: [V39] Parmi les propositions suivantes, laquelle correspond le mieux à : exemples de TC dense régulier unitendu ?	Réponse: C — Tendon/Ligament
Q134: [V40] Quel élément correspond le mieux à : où passent le nerf ulnaire et l’artère ulnaire ?	Réponse: A — Canal de Guyon
Q137: [V43] Quel élément correspond le mieux à : où l’ordre antéro-postérieur est veine sous-clavière → artère → divisions ?	Réponse: D — Défilé costo-claviculaire
Q139: [V45] Parmi les propositions suivantes, laquelle correspond le mieux à : le plexus innervant ceinture scapulaire + membre supérieur ?	Réponse: D — Plexus brachial (C5–T1)
Q140: [V46] Lequel des énoncés décrit correctement : Racine postérieure ?	Réponse: A — la racine sensitive (avec ganglion spinal)
Q141: [V47] Parmi les propositions suivantes, laquelle correspond le mieux à : la capacité à identifier ce qui nécessite une intervention médicale ?	Réponse: A — Reconnaître ses limites
Q147: [V53] Lequel des énoncés décrit correctement : Raisonnement clinique ?	Réponse: C — formuler des hypothèses et les tester avec anamnèse + examen
Q148: [V54] Parmi les propositions suivantes, laquelle correspond le mieux à : où le nerf radial accompagne l’a. brachiale profonde ?	Réponse: D — Espace huméro-tricipital
Q149: [V55] Lequel des énoncés décrit correctement : Tronc supérieur ?	Réponse: D — formé par C5 et C6
Q150: [V56] Quel élément correspond le mieux à : branche terminale issue de la corde postérieure ?	Réponse: A — Nerf radial
Q152: [V58] Parmi les propositions suivantes, laquelle correspond le mieux à : branche terminale issue de la corde postérieure ?	Réponse: A — Nerf radial
Q153: [V59] Quel élément correspond le mieux à : où le nerf radial accompagne l’a. brachiale profonde ?	Réponse: C — Espace huméro-tricipital
Q159: [V65] Lequel des énoncés décrit correctement : Racine antérieure ?	Réponse: B — la racine motrice du nerf spinal
Q161: [V67] Parmi les propositions suivantes, laquelle correspond le mieux à : localisation citée du TC lâche entre fibres musculaires striées ?	Réponse: D — Endomysium
Q164: [V70] Parmi les propositions suivantes, laquelle correspond le mieux à : cellule proche des capillaires riche en histamine (allergie) ?	Réponse: B — Mastocyte
Q167: [V73] Lequel des énoncés décrit correctement : Plasma ?	Réponse: C — matrice liquide du sang (~55%)
Q169: [V75] Quel élément correspond le mieux à : branche terminale issue de la corde postérieure ?	Réponse: C — Nerf radial
Q170: [V76] Lequel des énoncés décrit correctement : Tronc supérieur ?	Réponse: A — formé par C5 et C6
Q177: [V83] Parmi les propositions suivantes, laquelle correspond le mieux à : un objectif central mis en avant par l’IFEC ?	Réponse: B — Qualité et sécurité des soins
Q178: [V84] Parmi les propositions suivantes, laquelle correspond le mieux à : espace entre scalène antérieur (avant) et moyen (arrière) ?	Réponse: D — Défilé des scalènes
Q182: [V88] Parmi les propositions suivantes, laquelle correspond le mieux à : branche terminale issue de la corde postérieure ?	Réponse: B — Nerf radial
Q189: [V95] Lequel des énoncés décrit correctement : Canal carpien ?	Réponse: C — zone classique de compression du nerf médian
Q190: [V96] Parmi les propositions suivantes, laquelle correspond le mieux à : exemples de TC dense régulier bitendu ?	Réponse: C — Stroma cornéen / aponévrose
Q195: [V101] Lequel des énoncés décrit correctement : Nerf radial ?	Réponse: A — branche terminale issue de la corde postérieure
Q196: [V102] Parmi les propositions suivantes, laquelle correspond le mieux à : l’enzyme qui hydrolyse l’acide hyaluronique ?	Réponse: A — Hyaluronidase
Q197: [V103] Lequel des énoncés décrit correctement : Dure-mère ?	Réponse: B — exemple de localisation de TC dense irrégulier
Q200: [V106] Parmi les propositions suivantes, laquelle correspond le mieux à : innervent préférentiellement les loges postérieures (extenseurs) ?	Réponse: B — Divisions postérieures
Q203: [V109] Lequel des énoncés décrit correctement : Canal de Guyon ?	Réponse: A — où passent le nerf ulnaire et l’artère ulnaire
Q204: [V110] Quel élément correspond le mieux à : espace entre scalène antérieur (avant) et moyen (arrière) ?	Réponse: A — Défilé des scalènes
Q208: [V114] Lequel des énoncés décrit correctement : Canal carpien ?	Réponse: D — zone classique de compression du nerf médian
Q210: [V116] Parmi les propositions suivantes, laquelle correspond le mieux à : où passe le nerf axillaire avec l’a. circonflexe humérale postérieure ?	Réponse: C — Espace quadrangulaire
Q213: [V119] Parmi les propositions suivantes, laquelle correspond le mieux à : la composition du disaccharide de base des GAG ?	Réponse: C — Acide uronique + hexosamine
Q218: [V124] Parmi les propositions suivantes, laquelle correspond le mieux à : exemple de TC à prédominance de fibres élastiques ?	Réponse: C — Ligaments jaunes
Q223: [V129] Parmi les propositions suivantes, laquelle correspond le mieux à : branche terminale issue de la corde médiale ?	Réponse: B — Nerf ulnaire
Q224: [V130] Parmi les propositions suivantes, laquelle correspond le mieux à : branche terminale issue de la corde médiale ?	Réponse: B — Nerf ulnaire
Q226: [V132] Lequel des énoncés décrit correctement : Nerf radial ?	Réponse: C — branche terminale issue de la corde postérieure
Q228: [V134] Parmi les propositions suivantes, laquelle correspond le mieux à : espace entre scalène antérieur (avant) et moyen (arrière) ?	Réponse: B — Défilé des scalènes
Q231: [V137] Lequel des énoncés décrit correctement : Reconnaître ses limites ?	Réponse: C — la capacité à identifier ce qui nécessite une intervention médicale
Q235: [V141] Quel élément correspond le mieux à : où l’ordre antéro-postérieur est veine sous-clavière → artère → divisions ?	Réponse: B — Défilé costo-claviculaire
Q238: [V144] Parmi les propositions suivantes, laquelle correspond le mieux à : innervent préférentiellement les loges postérieures (extenseurs) ?	Réponse: C — Divisions postérieures
Q239: [V145] Lequel des énoncés décrit correctement : Corde postérieure ?	Réponse: A — formée des 3 divisions postérieures
Q243: [V149] Lequel des énoncés décrit correctement : Espace quadrangulaire ?	Réponse: B — où passe le nerf axillaire avec l’a. circonflexe humérale postérieure
Q246: [V152] Lequel des énoncés décrit correctement : Intégrines (α/β) ?	Réponse: A — des récepteurs membranaires dimériques impliqués dans l’ancrage à la MEC
Q249: [V155] Parmi les propositions suivantes, laquelle correspond le mieux à : la composition du disaccharide de base des GAG ?	Réponse: B — Acide uronique + hexosamine
